"site_code","site_id","sample_year","location","treatment","shannon","pielou","richness","abundance"
"LPT4317","LPT43",2017,"Long Point","Treatment",0,NA,1,89.10891
"LPT4417","LPT44",2017,"Long Point","Treatment",0.164865436479559,0.15006698739865,3,30.3921622
"RPC0217","RPC02",2017,"Rondeau","Control",0.0342305497175501,0.0493842443244127,2,89.6039595
"RPC0317","RPC03",2017,"Rondeau","Control",0.639172505578336,0.581799887158763,3,86.6379345
"RPC0417","RPC04",2017,"Rondeau","Control",0.86415014583897,0.786583360437933,3,87.13693
"RPC0517","RPC05",2017,"Rondeau","Control",0.636514195507254,0.918295873313744,2,84.90566
"RPC0617","RPC06",2017,"Rondeau","Control",0.381135396412278,0.346924388470425,3,89.6039595
"RPC0717","RPC07",2017,"Rondeau","Control",0.810721950319233,0.503729869947642,5,85.7142892
"RPC0817","RPC08",2017,"Rondeau","Control",0.866183144075072,0.416546042152906,8,76.7441945
"RPC0917","RPC09",2017,"Rondeau","Control",0.829176734920071,0.598124581744845,4,86.6379345
"RPC1017","RPC10",2017,"Rondeau","Control",0.448311327181285,0.186960344876989,11,61.611377
"RPC1117","RPC11",2017,"Rondeau","Control",0.642117337826132,0.329983035515726,7,83.673466
"RPC1217","RPC12",2017,"Rondeau","Control",0.928699032722009,0.577033152721904,5,64.9572598
"RPC1317","RPC13",2017,"Rondeau","Control",0.666278434321714,0.961236593047199,2,89.34708
"RPC1417","RPC14",2017,"Rondeau","Control",0.557856923730213,0.402408708695575,4,83.1275752
"RPC1517","RPC15",2017,"Rondeau","Control",0.0377533684787964,0.0544665974812133,2,79.7029695
"RPC1717","RPC17",2017,"Rondeau","Control",1.07952957167358,0.982630162440958,3,82.6087
"RPC1817","RPC18",2017,"Rondeau","Control",0.823959247078051,0.750000027832356,3,91.954025
"RPC1917","RPC19",2017,"Rondeau","Control",0.792375267208786,0.721251050422359,3,88.888894
"RPC2017","RPC20",2017,"Rondeau","Control",0.739321320272,0.672959266793118,3,91.633464
"RPC4117","RPC41",2017,"Rondeau","Control",1.46646868826656,0.753615828037328,7,77.372272
"RPC1617","RPC16",2017,"Rondeau","Treatment",0.224451107536369,0.204304202539441,3,20.6896516
"RPT2117","RPT21",2017,"Rondeau","Treatment",0.0342305467882793,0.0493842400983682,2,78.3549804
"RPT2217","RPT22",2017,"Rondeau","Treatment",0,NA,1,74.6888
"RPT2317","RPT23",2017,"Rondeau","Treatment",0,NA,1,75
"RPT2417","RPT24",2017,"Rondeau","Treatment",0,NA,1,60
"RPT2517","RPT25",2017,"Rondeau","Treatment",0,NA,1,0.4975124
"RPT2617","RPT26",2017,"Rondeau","Treatment",0.410116318288409,0.591672778582327,2,31.818185
"RPT2717","RPT27",2017,"Rondeau","Treatment",0,NA,1,4.739337
"RPT2817","RPT28",2017,"Rondeau","Treatment",0.0555460752688919,0.0801360473312754,2,45.7013587
"RPT2917","RPT29",2017,"Rondeau","Treatment",0.0398275579113589,0.0574590202894356,2,65.3679604
"RPT3017","RPT30",2017,"Rondeau","Treatment",0,NA,1,72.39819
"RPT3117","RPT31",2017,"Rondeau","Treatment",0,NA,1,63.63636
"RPT3217","RPT32",2017,"Rondeau","Treatment",0.580900122666445,0.528758078403339,3,51.7786569
"RPT3317","RPT33",2017,"Rondeau","Treatment",0,NA,1,0.4975124
"RPT3417","RPT34",2017,"Rondeau","Treatment",0.0965089607359472,0.139232999055099,2,20.3187264
"RPT3517","RPT35",2017,"Rondeau","Treatment",0,0,0,0
"RPT3617","RPT36",2017,"Rondeau","Treatment",0,NA,1,0.4975124
